Agency Name,Clients Served,Country,Published,Status
Rising Athletes Advisory,79,CA,Yes,Original
RRi Hockey Agency,325,CA,Yes,Original
RSA - Rick Sports Agency,23,CA,Yes,Original
Rule 1 Sports,309,US,Yes,Original
Select Hockey Management,10,US,Yes,Original
Shoot for Success,89,CA,Yes,Original
Sport Prospects,128,CA,Yes,Original
Steen Sports Systems,,US,Yes,Original
Stop It Goaltending,57,US,Yes,Original
Stretch Pass Advising,70,US,Yes,Original
Summit Sports Group,39,US,Yes,Original
Swan Hockey,3,US,Yes,Original
Talent Hockey Agency,,US,Yes,Original
TBC Hockey Advisors,11,US,Yes,Original
The Famiglia,25,US,Yes,Original
The Sports Corporation,123,CA,Yes,Original
The Will Sports Group,113,US,Yes,Original
Thunder Creek Hockey,,CA,Yes,Original
Top Draft Hockey - Ottawa,374,CA,Yes,Original
Top Hockey Prospect,20,US,Yes,Original
Top Shelf Hockey Agency,5,CA,Yes,Original
TOP Sports Advisors,,US,Yes,Original
Total Scouting LLC,5,CA,Yes,Original
Total Sports Management LLC,26,US,Yes,Original
Trailblazer Hockey Advisors,258,CA,Yes,Original
True Advising Group,2,US,Yes,Original
TSA Athletic Consulting,12,US,Yes,Original
Unlimited Sports Management,,US,Yes,Original
Vaculik Hockey,19,CA,Yes,Original
Veritas Hockey,,US,Yes,Original
VHG Management,4,US,Yes,Original
Victorious Hockey Company,,US,Yes,Original
Visionary Sports,308,CA,Yes,Original
Wingman Hockey Group,95,CA,Yes,Original
Wolfe Hockey Development,,US,Yes,Original
Women's College Hockey Recruiting,,US,Yes,Original
Worldwide Sports Management Group,,US,Yes,Original
Yarema Hockey,19,CA,Yes,Original
Zenith Hockey Management,5,CA,Yes,Original
Zero Klub Hockey,1,US,Yes,Original
