Agency Name
Points West Sports
Popoff Sports Management
Post2Post Hockey Advising
Prestige Hockey Placement
Pro Counsel International Inc
Promotion Archie Sports Inc.
PROPULSION Sports Agency
Prospect285
Pure Hockey Management
Pursuit Hockey Development
Quantum Hockey Agency
Quartexx Management
R.W.G. Sport Management
Raze Sports
Rising Athletes Advisory
RRi Hockey Agency
RSA - Rick Sports Agency
Select Hockey Management
SeventyOne Hockey Agency
Shoot for Success
Sport Prospects
Stickland Wood
Sure Shot Hockey
The Sports Corporation
The Will Sports Group
Thunder Creek Prof. Player Mgt
Titan Sport Management
TM Hockey Consulting
Tonbara Sports & Entertainment
Top Draft Hockey
Top Shelf Hockey Agency
Top Shelf Sports Management
TQS Advising
Trailblazer Hockey Advisors
Universal Sports Mgmt Ltd.
Uptown Hockey Inc.
Vaculik Hockey
Village X Sports Management
Visionary Sports
WD Sports & Entertainment
Wingman Hockey Group
Yarema Hockey
Zenith Hockey Management
10XHockey
2112 Hockey Agency
3G Sports
3V Sports Management Inc.
98 Hockey Management
A7A Hockey
Achieve Sports Management
Advocate Athlete
AJS Sports Representation
AMG Sports Advisors
Apogee Hockey Consulting
APX Advisors
Atlas Management Group LLC
Axis Talent Management
Bartlett Hockey
Black Ace Management
Blase Management Firm
Blue Dragon Hockey
Blue Sky Sports Agency
Blueline Sports Management
Boston Management Group
Bowman Hockey
Buckley Sports Management
C20 Hockey
CAA - Creative Artists Agency
Capstone Hockey Services
Center Ice Advisory
Center Ice Player Management
CHFA Hockey
Coach Perspective Consultants
Commonwealth Hockey Group
Cooney Management Company
Cornerstone Management
Distinction Hockey Management
DNA Sports Management
Eclipse Sport Management
Edge Sports Management, LLC
Elite Hockey Advising
Elite Hockey Management
Elwood Sports Management, LLC
Emmer Sports Group
FCA Hockey
First Contact Hockey Advising
Forward Hockey
GDA Hockey
GE Sports
Global Hockey Consultants
Gold Star Sports Management
Green Mountain
Guardian Group
Hawkeye Hockey Services
HC Sports Management
High End Hockey
Hockey Horizons
HPA Sports Management
HPH Advising
IceBreakers Advisory
ICEHockeyAgency
IceScanner Hockey Agency
IHM
Impact Hockey Consulting
Innovative Hockey Consultants
InsideEdge Hockey
International Sports Advisors
iSA Pro Sports
JDM Sports
JL Management
Johnson Pro Hockey
JR Consulting Group
JRC Hockey Management
Kash Sports Management
KO Sports Inc
Lora Athletes
Magnuson Hockey Agency
MAP Advisors
Marych Sports Agency
Mid-West Hockey Advisory
Mingoia Sports Management
MIR Sports Management
National Scouting Report (NSR)
ND Hockey-Services
Nexlevel Hockey
Next Level Performance
Next Level Sports Management
North Axis Sports
Norton Sports Management
Nulink Family Advisors
O2K Worldwide MG
OCTANE Sports Management
Oliwa Hockey Advisors
Omega Hockey Services
OT Sports Group
Paragon Sports Consulting
Paul Theofanous
PG Sports
Pipeline Advising
Platinum Talent Agency
Player Rep 24/7
PNY Sports
Potente Sports
Precision Hockey
Premier Hockey Management
Prep Hockey Advisors
Pro Hockey Consulting
Progressive S & E
Prosper Sports Group, Inc.
Puck Agency
Quest Hockey Consulting
R4PA
Recruitment Hockey
Renegades Hockey LLC
Rinkside Advisors
RSG Hockey
Rule 1 Sports
Schafer Hockey Group
SGK Advising & Representation
SM Sports Management Group
Sporatun Sports Management
Sport Agency US CAMP LLC
Sports Management Group
Sports Professional Management
Stephen Heisler
Stop It Goaltending
Stretch Pass Advising
Summit Sports Group
Swan Hockey
TBC Hockey Advisors
The Famiglia
The Players Group
Top Hockey Prospect
Total Scouting, LLC
Total Sports Management, LLC
Tristone Sports Management
True Advising Group
TSA Athletic Consulting
Universal Sports Management
USM Hockey
Veritas Hockey Management
VHG Management
Volt Hockey Management
Wasserman Hockey
WCHR
WIN Hockey Agency NA
Worldwide Sports Mgt Group
Yandle Hockey LLC
Zero Klub Hockey
1Vision Sports & Entertainment
369 Sports & Entertainment
83, LLC
85 Sports Management, LLC
93 Hockey Services
