ID,Name,Abbreviation,Location,URL
507,"Junior Womens Hockey League","JWHL","USA & Canada","https://myhockeyrankings.com/league-info?l=507"
513,"Great Lakes Girls Hockey League","GLGHL","New York","https://myhockeyrankings.com/league-info?l=513"
518,"Wisconsin Elite Hockey League","WEHL","Wisconsin","https://myhockeyrankings.com/league-info?l=518"
519,"New England Fall Prep Hockey League","NEFPHL","New England","https://myhockeyrankings.com/league-info?l=519"
520,"Ligue Hockey Grand-Montreal","LHGM","Quebec","https://myhockeyrankings.com/league-info?l=520"
521,"Hockey Abitibi-Temiscamingue","Abitibi","NW Quebec","https://myhockeyrankings.com/league-info?l=521"
522,"Hockey Estrie","Estrie","Southeast Quebec","https://myhockeyrankings.com/league-info?l=522"
524,"Ligue Interregionale Hockey Feminin","LIHF","Quebec","https://myhockeyrankings.com/league-info?l=524"
529,"Alberta Female Hockey League","AFHL","Alberta","https://myhockeyrankings.com/league-info?l=529"
530,"Saskatchewan Female Midget AAA Hockey League","SFMAAAHL","Saskatchewan","https://myhockeyrankings.com/league-info?l=530"
533,"Manitoba Female Midget Hockey League","MFHL","Manitoba","https://myhockeyrankings.com/league-info?l=533"
537,"Colorado Amateur Hockey Association","CAHA-CO","Colorado","https://myhockeyrankings.com/league-info?l=537"
538,"Northern New York State Hockey League","NNYSHL","Upstate New York","https://myhockeyrankings.com/league-info?l=538"
539,"Eastern Junior Elite Prospects League","EJEPL","Eastern US","https://myhockeyrankings.com/league-info?l=539"
540,"Middlesex Yankee Conference Girls Hockey League","MYCGL","Massachusetts","https://myhockeyrankings.com/league-info?l=540"
542,"Shamrock Hockey League","SHL-CA","Southwest Ontario","https://myhockeyrankings.com/league-info?l=542"
543,"Connecticut Girls Hockey League","CGHL-CT","Connecticut","https://myhockeyrankings.com/league-info?l=543"
545,"Saskatchewan AA Hockey League","SAAHL","Saskatchewan","https://myhockeyrankings.com/league-info?l=545"
546,"Central Alberta Hockey League","CAHL","Alberta","https://myhockeyrankings.com/league-info?l=546"
547,"Ottawa B Hockey League","OBMHL","Ottawa","https://myhockeyrankings.com/league-info?l=547"
548,"Michigan Girls Hockey League","MGHL","Michigan","https://myhockeyrankings.com/league-info?l=548"
549,"Oakville MD League","OMDL","Oakville, Ontario","https://myhockeyrankings.com/league-info?l=549"
550,"Western Ontario Girls Hockey League","WOGHL","Western Ontario","https://myhockeyrankings.com/league-info?l=550"
552,"West Kootenay Minor Hockey Association","WKMHA","SE BC","https://myhockeyrankings.com/league-info?l=552"
553,"Soo Peewee Hockey League","SPWHL","Northern Ontario","https://myhockeyrankings.com/league-info?l=553"
554,"North West District BC","NWD","Northwestern BC","https://myhockeyrankings.com/league-info?l=554"
555,"Hockey PEI","HPEI","Prince Edward Island","https://myhockeyrankings.com/league-info?l=555"
556,"Scotia Minor Hockey League","SMHL","Nova Scotia","https://myhockeyrankings.com/league-info?l=556"
558,"Cape Breton Hockey Federation","CBHF","Eastern Nova Scotia","https://myhockeyrankings.com/league-info?l=558"
559,"Ligue de Hockey d'Excellence du Quebec","LHEQ","Quebec","https://myhockeyrankings.com/league-info?l=559"
560,"Rocky Mountain Female Hockey League","RMFHL","Southern Alberta","https://myhockeyrankings.com/league-info?l=560"
562,"New Brunswick Peewee AAA Hockey League","NBPAAA","New Brunswick","https://myhockeyrankings.com/league-info?l=562"
565,"Arizona Youth Hockey League","AZYHL","Arizona","https://myhockeyrankings.com/league-info?l=565"
566,"East Coast Elite League","ECEL","Eastern US","https://myhockeyrankings.com/league-info?l=566"
567,"Elite 9 Hockey League","E9HL","New England","https://myhockeyrankings.com/league-info?l=567"
569,"Sault Major Hockey Association","Soo","Northern Ontario","https://myhockeyrankings.com/league-info?l=569"
571,"Saskatchewan Female Hockey League","SaskFHL","Saskatchewan","https://myhockeyrankings.com/league-info?l=571"
572,"Victoria Durham Minor Hockey League","VDMHL","East Central Ontario","https://myhockeyrankings.com/league-info?l=572"
573,"Southern Counties Minor Hockey League","SCMHL","South Central Ontario","https://myhockeyrankings.com/league-info?l=573"
574,"Muskoka Parry Sound Hockey League","MPSHL","North-Central Ontario","https://myhockeyrankings.com/league-info?l=574"
575,"Colorado Girls Hockey League","CGHL-CO","Colorado","https://myhockeyrankings.com/league-info?l=575"
576,"Hockey Regina","HR","Saskatchewan","https://myhockeyrankings.com/league-info?l=576"
